State,County,UID,FIPS,Lat,Long,Date,#Covid_cases
Colorado,Cheyenne,84008017,8017.0,38.82777431,-102.6032558,2020-01-31,0
Colorado,Clear Creek,84008019,8019.0,39.68864463,-105.6463118,2020-01-31,0
Colorado,Conejos,84008021,8021.0,37.201606,-106.19174879999998,2020-01-31,0
Colorado,Costilla,84008023,8023.0,37.27732493,-105.4276548,2020-01-31,0
Colorado,Crowley,84008025,8025.0,38.32608609,-103.7844965,2020-01-31,0
Colorado,Custer,84008027,8027.0,38.10883162,-105.3683478,2020-01-31,0
Colorado,Delta,84008029,8029.0,38.86246243,-107.86313419999999,2020-01-31,0
Colorado,Denver,84008031,8031.0,39.76018276,-104.87256950000001,2020-01-31,0
Colorado,Dolores,84008033,8033.0,37.75208676,-108.5211585,2020-01-31,0
Colorado,Douglas,84008035,8035.0,39.33133796,-104.930001,2020-01-31,0
Colorado,Eagle,84008037,8037.0,39.62754308,-106.6933637,2020-01-31,0
Colorado,El Paso,84008041,8041.0,38.83240149,-104.5251411,2020-01-31,0
Colorado,Elbert,84008039,8039.0,39.28656773,-104.13587209999999,2020-01-31,0
Colorado,Fremont,84008043,8043.0,38.47362326,-105.43996670000001,2020-01-31,0
Colorado,Garfield,84008045,8045.0,39.59921777,-107.902708,2020-01-31,0
Colorado,Gilpin,84008047,8047.0,39.85646523,-105.5252597,2020-01-31,0
Colorado,Grand,84008049,8049.0,40.10603347,-106.11780420000001,2020-01-31,0
Colorado,Gunnison,84008051,8051.0,38.66611652,-107.0320729,2020-01-31,0
Colorado,Hinsdale,84008053,8053.0,37.82247444,-107.3004345,2020-01-31,0
Colorado,Huerfano,84008055,8055.0,37.68473101,-104.9612585,2020-01-31,0
Colorado,Jackson,84008057,8057.0,40.66593870000001,-106.3408905,2020-01-31,0
Colorado,Jefferson,84008059,8059.0,39.58635604,-105.2517692,2020-01-31,0
Colorado,Kiowa,84008061,8061.0,38.43260896,-102.7392145,2020-01-31,0
Colorado,Kit Carson,84008063,8063.0,39.30497777,-102.60221990000001,2020-01-31,0
Colorado,La Plata,84008067,8067.0,37.28632032,-107.8429014,2020-01-31,0
Colorado,Lake,84008065,8065.0,39.20278823,-106.35556969999999,2020-01-31,0
Colorado,Larimer,84008069,8069.0,40.66671597,-105.4625784,2020-01-31,0
Colorado,Las Animas,84008071,8071.0,37.3153406,-104.03764579999999,2020-01-31,0
Colorado,Lincoln,84008073,8073.0,38.98749519,-103.51366490000001,2020-01-31,0
Colorado,Logan,84008075,8075.0,40.7249637,-103.110817,2020-01-31,0
Colorado,Mesa,84008077,8077.0,39.01787888,-108.469799,2020-01-31,0
Colorado,Mineral,84008079,8079.0,37.66954283,-106.92816979999999,2020-01-31,0
Colorado,Moffat,84008081,8081.0,40.61810999,-108.2070876,2020-01-31,0
Colorado,Montezuma,84008083,8083.0,37.33859579,-108.59588570000001,2020-01-31,0
Colorado,Montrose,84008085,8085.0,38.40214114,-108.26390220000002,2020-01-31,0
Colorado,Morgan,84008087,8087.0,40.26279810000001,-103.8093302,2020-01-31,0
Colorado,Otero,84008089,8089.0,37.9014485,-103.7173385,2020-01-31,0
Colorado,Ouray,84008091,8091.0,38.14717457,-107.7675136,2020-01-31,0
Colorado,Out of CO,84080008,80008.0,0.0,0.0,2020-01-31,0
Colorado,Park,84008093,8093.0,39.120926000000004,-105.7182065,2020-01-31,0
Colorado,Phillips,84008095,8095.0,40.59414277,-102.3577703,2020-01-31,0
